id_player;serial;assists;corner_taken;offsides;dribbles
ID_197;1;7;10;2;7
ID_2;2;6;3;4;83
ID_77;2;6;3;3;32
ID_139;4;5;3;4;28
ID_32;5;4;36;0;9
ID_82;5;4;18;0;14
ID_4;5;4;10;0;8
ID_215;5;4;8;0;7
ID_100;5;4;4;8;43
ID_193;5;4;0;3;9
ID_57;5;4;0;0;17
ID_56;12;3;36;0;4
ID_68;12;3;11;1;10
ID_79;12;3;10;8;2
ID_156;12;3;10;0;1
ID_278;12;3;8;0;4
ID_115;12;3;4;4;59
ID_66;12;3;2;3;18
ID_206;12;3;1;1;24
ID_238;12;3;0;7;10
ID_67;12;3;0;7;1
ID_70;12;3;0;2;26
ID_157;12;3;0;1;7
ID_60;24;2;30;5;28
ID_29;24;2;27;1;9
ID_265;24;2;23;0;12
ID_108;24;2;16;1;3
ID_40;24;2;16;0;4
ID_110;24;2;13;6;12
ID_440;24;2;9;0;4
ID_318;24;2;9;0;3
ID_407;24;2;7;1;7
ID_480;24;2;7;1;3
ID_370;24;2;7;0;10
ID_177;24;2;7;0;6
ID_267;24;2;6;1;3
ID_211;24;2;6;0;4
ID_117;24;2;5;5;13
ID_16;24;2;5;0;1
ID_93;24;2;4;5;9
ID_61;24;2;3;8;31
ID_308;24;2;3;1;1
ID_314;24;2;3;0;12
ID_198;24;2;2;1;8
ID_227;24;2;1;5;9
ID_13;24;2;1;1;20
ID_409;24;2;1;1;15
ID_146;24;2;1;0;1
ID_295;24;2;0;9;5
ID_134;24;2;0;6;14
ID_27;24;2;0;5;49
ID_401;24;2;0;1;15
ID_457;24;2;0;1;10
ID_47;24;2;0;1;0
ID_203;24;2;0;0;21
ID_228;24;2;0;0;18
ID_107;24;2;0;0;13
ID_10;24;2;0;0;8
ID_38;24;2;0;0;6
ID_34;24;2;0;0;2
ID_296;24;2;0;0;2
ID_321;24;2;0;0;1
ID_352;24;2;0;0;1
ID_111;64;1;18;1;5
ID_123;64;1;15;2;3
ID_95;64;1;15;1;18
ID_189;64;1;12;5;17
ID_205;64;1;11;0;6
ID_217;64;1;10;0;8
ID_42;64;1;9;0;6
ID_154;64;1;9;0;1
ID_442;64;1;8;1;3
ID_484;64;1;8;0;1
ID_234;64;1;7;1;27
ID_323;64;1;7;0;7
ID_417;64;1;7;0;0
ID_208;64;1;6;10;6
ID_276;64;1;6;2;12
ID_538;64;1;6;1;0
ID_421;64;1;6;0;2
ID_210;64;1;5;7;5
ID_434;64;1;4;0;5
ID_105;64;1;4;0;2
ID_45;64;1;4;0;1
ID_242;64;1;3;6;18
ID_247;64;1;3;4;10
ID_3;64;1;2;9;18
ID_454;64;1;2;2;13
ID_450;64;1;2;0;8
ID_153;64;1;2;0;7
ID_494;64;1;2;0;2
ID_141;64;1;1;3;21
ID_214;64;1;1;2;4
ID_240;64;1;1;1;16
ID_183;64;1;1;0;34
ID_207;64;1;1;0;3
ID_562;64;1;1;0;0
ID_30;64;1;0;9;17
ID_133;64;1;0;5;8
ID_37;64;1;0;4;19
ID_347;64;1;0;4;7
ID_94;64;1;0;3;27
ID_404;64;1;0;3;16
ID_11;64;1;0;3;10
ID_103;64;1;0;3;9
ID_395;64;1;0;3;6
ID_541;64;1;0;3;2
ID_39;64;1;0;2;42
ID_184;64;1;0;2;13
ID_84;64;1;0;2;12
ID_152;64;1;0;2;4
ID_416;64;1;0;2;1
ID_80;64;1;0;2;0
ID_31;64;1;0;2;0
ID_263;64;1;0;1;20
ID_186;64;1;0;1;13
ID_331;64;1;0;1;11
ID_274;64;1;0;1;11
ID_7;64;1;0;1;9
ID_143;64;1;0;1;8
ID_224;64;1;0;1;7
ID_130;64;1;0;1;5
ID_526;64;1;0;1;3
ID_15;64;1;0;1;2
ID_320;64;1;0;1;2
ID_396;64;1;0;1;2
ID_246;64;1;0;1;0
ID_326;64;1;0;1;0
ID_128;64;1;0;0;23
ID_343;64;1;0;0;19
ID_348;64;1;0;0;19
ID_339;64;1;0;0;15
ID_299;64;1;0;0;12
ID_279;64;1;0;0;9
ID_14;64;1;0;0;6
ID_191;64;1;0;0;6
ID_236;64;1;0;0;5
ID_621;64;1;0;0;5
ID_329;64;1;0;0;4
ID_283;64;1;0;0;4
ID_300;64;1;0;0;4
ID_471;64;1;0;0;4
ID_367;64;1;0;0;4
ID_399;64;1;0;0;4
ID_411;64;1;0;0;4
ID_62;64;1;0;0;3
ID_98;64;1;0;0;3
ID_85;64;1;0;0;3
ID_46;64;1;0;0;3
ID_222;64;1;0;0;3
ID_317;64;1;0;0;3
ID_383;64;1;0;0;3
ID_622;64;1;0;0;3
ID_147;64;1;0;0;2
ID_473;64;1;0;0;2
ID_573;64;1;0;0;2
ID_547;64;1;0;0;2
ID_497;64;1;0;0;2
ID_677;64;1;0;0;2
ID_74;64;1;0;0;1
ID_129;64;1;0;0;1
ID_422;64;1;0;0;1
ID_479;64;1;0;0;1
ID_248;64;1;0;0;1
ID_553;64;1;0;0;1
ID_684;64;1;0;0;1
ID_81;64;1;0;0;0
ID_86;64;1;0;0;0
ID_464;64;1;0;0;0
ID_381;64;1;0;0;0
ID_499;64;1;0;0;0
ID_462;64;1;0;0;0
ID_549;64;1;0;0;0
ID_500;64;1;0;0;0
ID_692;64;1;0;0;0
ID_686;64;1;0;0;0
