id_player,serial,balls_recoverd,tackles,t_won,t_lost,clearance_attempted
ID_8,1,76,31,13,18,19
ID_5,1,76,19,6,13,32
ID_28,4,74,23,9,14,8
ID_58,5,73,9,6,3,62
ID_81,6,65,9,4,5,17
ID_76,7,63,28,17,11,48
ID_57,8,62,11,1,10,29
ID_31,8,62,3,2,1,29
ID_70,10,56,9,6,3,13
ID_65,11,55,20,10,10,30
ID_80,11,55,12,7,5,17
ID_33,13,53,16,11,5,17
ID_85,13,53,10,2,8,19
ID_69,15,52,14,10,4,5
ID_112,15,52,8,4,4,31
ID_62,17,51,9,6,3,51
ID_78,17,51,5,1,4,17
ID_159,17,51,3,1,2,6
ID_32,17,51,1,0,1,18
ID_7,21,50,12,6,6,30
ID_118,22,49,24,12,12,11
ID_6,22,49,18,12,6,28
ID_144,22,49,9,6,3,15
ID_54,22,49,7,3,4,62
ID_124,22,49,5,4,1,24
ID_92,27,48,17,8,9,17
ID_56,27,48,17,8,9,5
ID_251,27,48,0,0,0,15
ID_87,30,47,13,9,4,29
ID_71,31,46,9,5,4,16
ID_104,31,46,7,2,5,18
ID_109,31,46,4,1,3,16
ID_106,34,45,11,1,10,16
ID_111,35,44,18,6,12,9
ID_29,35,44,4,3,1,14
ID_241,37,43,12,7,5,13
ID_164,38,42,6,4,2,18
ID_224,38,42,3,0,3,9
ID_86,38,42,2,2,0,36
ID_96,41,41,15,6,9,3
ID_102,41,41,14,7,7,4
ID_162,41,41,11,7,4,13
ID_129,41,41,10,6,4,14
ID_226,41,41,7,2,5,27
ID_246,41,41,6,3,3,14
ID_91,41,41,6,2,4,20
ID_176,41,41,3,1,2,20
ID_269,49,40,20,12,8,9
ID_36,49,40,16,11,5,5
ID_107,49,40,16,10,6,9
ID_137,49,40,15,6,9,7
ID_200,49,40,3,1,2,12
ID_160,54,39,19,13,6,39
ID_142,54,39,14,6,8,36
ID_364,54,39,9,5,4,12
ID_4,54,39,9,3,6,4
ID_182,54,39,8,6,2,24
ID_282,54,39,6,1,5,26
ID_253,54,39,5,2,3,12
ID_114,61,38,15,6,9,6
ID_83,61,38,11,6,5,26
ID_146,61,38,7,5,2,2
ID_9,64,37,11,5,6,4
ID_161,64,37,10,6,4,8
ID_297,64,37,10,3,7,9
ID_291,64,37,7,5,2,20
ID_97,64,37,6,0,6,8
ID_179,64,37,5,3,2,8
ID_181,70,36,29,11,18,6
ID_84,70,36,18,8,10,27
ID_90,70,36,7,1,6,11
ID_10,70,36,6,5,1,15
ID_136,70,36,6,2,4,17
ID_372,70,36,1,0,1,18
ID_75,76,35,23,12,11,12
ID_237,76,35,8,5,3,6
ID_145,76,35,6,2,4,12
ID_233,76,35,5,2,3,5
ID_132,76,35,4,2,2,23
ID_163,76,35,1,1,0,30
ID_68,82,34,15,6,9,24
ID_252,82,34,6,5,1,17
ID_336,82,34,6,5,1,6
ID_35,82,34,5,1,4,15
ID_225,82,34,4,0,4,15
ID_232,82,34,3,1,2,31
ID_140,82,34,3,1,2,11
ID_346,82,34,0,0,0,18
ID_221,90,33,11,4,7,4
ID_311,90,33,8,1,7,13
ID_205,90,33,7,2,5,2
ID_271,90,33,4,3,1,22
ID_113,90,33,1,1,0,8
ID_211,95,32,12,7,5,21
ID_149,95,32,11,4,7,11
ID_143,95,32,11,4,7,8
ID_166,95,32,11,3,8,39
ID_313,95,32,10,7,3,18
ID_287,95,32,10,2,8,6
ID_294,95,32,6,3,3,24
ID_390,102,31,13,4,9,11
ID_324,102,31,9,5,4,5
ID_207,102,31,6,2,4,8
ID_219,102,31,5,4,1,16
ID_443,102,31,5,4,1,8
ID_256,102,31,4,1,3,19
ID_328,102,31,3,1,2,21
ID_184,102,31,1,1,0,13
ID_296,110,30,19,10,9,9
ID_105,110,30,11,8,3,7
ID_191,110,30,10,6,4,8
ID_290,110,30,10,3,7,22
ID_222,110,30,9,3,6,18
ID_285,110,30,5,3,2,15
ID_156,110,30,5,2,3,8
ID_180,110,30,5,1,4,17
ID_95,110,30,4,3,1,10
ID_351,110,30,4,2,2,17
ID_165,110,30,1,0,1,37
ID_148,121,29,19,10,9,7
ID_220,121,29,19,9,10,3
ID_11,121,29,13,7,6,10
ID_2,121,29,11,3,8,0
ID_277,121,29,10,6,4,2
ID_283,121,29,9,3,6,4
ID_130,121,29,8,4,4,8
ID_34,121,29,3,1,2,1
ID_414,129,28,14,5,9,5
ID_289,129,28,12,7,5,12
ID_410,129,28,12,4,8,1
ID_340,129,28,8,1,7,12
ID_305,129,28,7,2,5,4
ID_183,129,28,6,3,3,5
ID_155,129,28,6,2,4,29
ID_147,129,28,4,3,1,16
ID_286,129,28,2,1,1,23
ID_216,138,27,26,7,19,10
ID_393,138,27,12,6,6,11
ID_178,138,27,11,6,5,5
ID_12,138,27,10,4,6,14
ID_254,138,27,6,5,1,28
ID_335,138,27,3,2,1,8
ID_337,138,27,2,1,1,9
ID_204,138,27,2,1,1,6
ID_119,146,26,9,4,5,32
ID_315,146,26,7,4,3,14
ID_98,146,26,6,3,3,9
ID_158,146,26,4,2,2,26
ID_40,146,26,2,1,1,10
ID_330,151,25,13,7,6,13
ID_195,151,25,10,3,7,3
ID_66,151,25,9,4,5,5
ID_139,151,25,7,3,4,2
ID_138,151,25,6,1,5,9
ID_135,151,25,5,4,1,12
ID_386,151,25,5,4,1,10
ID_206,158,24,16,9,7,5
ID_175,158,24,15,7,8,1
ID_248,158,24,9,1,8,21
ID_245,158,24,8,3,5,19
ID_411,158,24,5,5,0,4
