id_player;serial;fouls_committed;fouls_suffered;red;yellow;minutes_played
ID_181;1;23;17;2;0;534
ID_57;2;19;17;3;1;1046
ID_69;2;19;4;2;0;842
ID_111;2;19;3;2;0;649
ID_297;5;18;3;4;0;407
ID_8;6;17;18;3;0;914
ID_5;6;17;16;4;0;1076
ID_76;6;17;11;2;0;810
ID_95;6;17;11;1;0;703
ID_103;6;17;11;1;0;668
ID_148;6;17;6;4;0;558
ID_30;12;16;19;2;0;822
ID_92;12;16;13;1;0;715
ID_306;12;16;7;2;0;398
ID_414;16;15;8;3;0;281
ID_38;16;15;7;0;0;487
ID_7;16;15;6;3;0;959
ID_102;20;14;23;2;0;672
ID_28;20;14;11;1;0;849
ID_134;20;14;10;1;0;581
ID_227;20;14;6;0;0;478
ID_216;20;14;4;3;0;491
ID_84;20;14;4;1;0;720
ID_2;26;13;24;1;0;1199
ID_215;26;13;13;2;0;493
ID_97;26;13;10;3;0;700
ID_265;26;13;8;2;0;446
ID_91;26;13;2;2;0;716
ID_138;31;12;13;2;0;577
ID_101;31;12;9;1;0;672
ID_244;31;12;8;1;0;450
ID_236;31;12;7;1;0;467
ID_420;31;12;6;1;0;273
ID_322;31;12;6;0;0;379
ID_45;31;12;4;3;0;211
ID_394;31;12;2;1;0;304
ID_283;31;12;2;0;0;427
ID_376;40;11;15;2;0;325
ID_67;40;11;13;1;0;876
ID_117;40;11;9;0;0;630
ID_104;40;11;8;2;0;666
ID_150;40;11;7;1;0;548
ID_209;40;11;7;1;0;500
ID_213;40;11;7;1;0;496
ID_37;40;11;6;2;0;578
ID_144;40;11;6;2;0;572
ID_300;40;11;5;0;0;405
ID_70;40;11;4;3;0;840
ID_71;40;11;3;2;0;840
ID_33;40;11;3;1;0;720
ID_79;40;11;3;0;0;778
ID_282;40;11;2;4;1;429
ID_183;55;10;13;2;0;532
ID_156;55;10;9;3;0;540
ID_303;55;10;8;2;0;401
ID_185;55;10;8;0;0;531
ID_304;55;10;7;1;0;400
ID_145;55;10;6;3;0;570
ID_307;55;10;6;2;0;398
ID_296;55;10;6;1;0;409
ID_66;55;10;6;0;0;878
ID_177;55;10;6;0;0;538
ID_109;55;10;5;3;0;660
ID_75;55;10;5;2;0;810
ID_374;55;10;4;2;1;327
ID_34;55;10;4;0;0;666
ID_465;55;10;2;0;0;231
ID_225;55;10;1;2;0;484
ID_128;71;9;18;2;0;607
ID_242;71;9;17;0;0;461
ID_389;71;9;15;0;0;313
ID_220;71;9;14;1;0;487
ID_118;71;9;10;3;0;630
ID_82;71;9;9;2;0;734
ID_107;71;9;8;1;0;661
ID_146;71;9;8;0;0;561
ID_222;71;9;8;0;0;484
ID_298;71;9;8;0;0;407
ID_65;71;9;7;1;0;891
ID_381;71;9;6;2;1;321
ID_58;71;9;6;1;0;1045
ID_214;71;9;6;1;0;494
ID_239;71;9;4;2;1;463
ID_383;71;9;4;1;0;320
ID_80;71;9;4;0;0;764
ID_347;71;9;3;3;0;352
ID_98;71;9;3;1;0;679
ID_275;71;9;2;1;0;435
ID_6;71;9;1;1;0;1040
ID_286;71;9;1;1;0;425
ID_317;71;9;1;1;0;386
ID_206;94;8;17;1;0;503
ID_194;94;8;15;3;0;524
ID_94;94;8;14;2;0;704
ID_187;94;8;11;2;0;529
ID_378;94;8;9;3;0;322
ID_149;94;8;9;0;0;553
ID_295;94;8;8;0;0;410
ID_186;94;8;7;0;0;530
ID_362;94;8;7;0;0;337
ID_119;94;8;6;3;0;630
ID_329;94;8;6;2;0;369
ID_311;94;8;3;2;0;393
ID_364;94;8;3;0;0;334
ID_9;107;7;18;0;0;902
ID_235;107;7;11;3;0;468
ID_345;107;7;11;3;0;354
ID_105;107;7;11;1;0;665
ID_190;107;7;10;1;0;528
ID_131;107;7;9;1;0;587
ID_221;107;7;8;1;0;486
ID_243;107;7;8;1;0;460
ID_324;107;7;8;1;0;376
ID_487;107;7;8;1;0;205
ID_10;107;7;7;3;0;867
ID_280;107;7;7;3;0;431
ID_12;107;7;7;2;0;574
ID_85;107;7;7;1;0;720
ID_266;107;7;7;1;0;444
ID_354;107;7;7;0;0;347
ID_238;107;7;6;1;0;464
ID_384;107;7;5;3;0;315
ID_308;107;7;5;2;0;397
ID_175;107;7;5;1;0;539
ID_391;107;7;5;0;0;312
ID_290;107;7;4;2;0;418
ID_287;107;7;4;1;0;420
ID_305;107;7;4;1;0;400
ID_129;107;7;4;0;0;603
ID_228;107;7;4;0;0;477
ID_237;107;7;4;0;0;466
ID_269;107;7;3;3;1;442
ID_112;107;7;3;2;0;645
ID_371;107;7;3;2;0;328
ID_321;107;7;3;1;0;380
ID_142;107;7;3;0;0;573
ID_361;107;7;3;0;0;341
ID_232;107;7;2;3;2;472
ID_226;107;7;2;1;0;484
ID_268;107;7;1;2;1;444
ID_559;107;7;1;1;1;131
ID_475;107;7;1;0;0;219
ID_469;107;7;0;0;0;225
ID_60;146;6;20;1;0;986
ID_115;146;6;16;1;0;632
ID_188;146;6;12;2;0;529
ID_299;146;6;11;1;0;405
ID_191;146;6;11;0;0;526
ID_327;146;6;10;0;0;373
ID_162;146;6;9;1;0;540
ID_151;146;6;9;0;0;543
ID_397;146;6;9;0;0;301
ID_160;146;6;8;2;0;540
ID_126;146;6;8;0;0;611
ID_125;146;6;7;1;0;613
ID_61;146;6;7;0;0;906
ID_180;146;6;7;0;0;534
ID_159;146;6;6;1;0;540
ID_218;146;6;6;1;0;489
ID_434;146;6;6;0;0;268
ID_87;146;6;5;3;0;720
ID_273;146;6;5;3;0;435
ID_81;146;6;5;1;0;757
ID_375;146;6;5;1;0;326
ID_312;146;6;5;0;0;392
ID_178;146;6;4;2;0;536
ID_205;146;6;4;2;0;504
ID_198;146;6;4;0;1;518
ID_284;146;6;4;0;0;426
