id_player,serial,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
ID_582,1,98.0,27,26,0,2,0,0
ID_456,2,97.5,203,197,0,0,0,1
ID_609,3,97.0,32,31,0,0,0,1
ID_518,4,96.8,130,122,0,0,0,0
ID_145,5,95.8,497,474,0,1,0,14
ID_603,6,95.0,61,58,0,1,0,0
ID_597,6,95.0,32,29,0,1,0,1
ID_255,8,94.8,424,402,0,0,0,8
ID_200,9,94.7,429,413,0,2,0,9
ID_78,9,94.7,707,672,0,0,0,10
ID_229,11,94.5,395,373,58,12,7,9
ID_482,11,94.5,199,192,0,0,0,5
ID_449,13,94.4,234,224,0,0,0,5
ID_113,13,94.4,545,523,0,1,0,8
ID_469,15,94.3,146,137,0,1,0,4
ID_69,16,94.2,806,760,0,1,0,13
ID_35,16,94.2,498,467,0,0,0,14
ID_85,18,94.1,674,633,0,0,0,12
ID_436,19,94.0,293,278,50,2,1,7
ID_605,19,94.0,105,99,0,0,0,3
ID_543,19,94.0,39,36,0,0,0,2
ID_604,19,94.0,35,33,0,0,0,0
ID_384,23,93.8,315,298,0,0,0,10
ID_285,24,93.6,280,263,50,2,1,8
ID_557,24,93.6,66,61,0,0,0,2
ID_551,24,93.6,19,17,0,0,0,0
ID_438,27,93.4,97,89,0,0,0,3
ID_129,27,93.4,552,517,50,2,1,7
ID_119,29,93.3,376,352,0,0,0,15
ID_148,29,93.3,363,340,0,1,0,7
ID_233,31,93.2,311,294,0,0,0,6
ID_109,32,93.1,562,519,0,2,0,11
ID_81,32,93.1,607,571,100,2,2,17
ID_281,34,93.0,436,403,0,2,0,14
ID_44,34,93.0,76,69,0,1,0,1
ID_608,34,93.0,73,68,0,0,0,3
ID_306,37,92.8,164,153,0,3,0,1
ID_311,37,92.8,288,269,0,0,0,2
ID_337,37,92.8,350,328,0,2,0,1
ID_219,40,92.7,322,301,0,0,0,4
ID_106,41,92.6,464,431,0,0,0,8
ID_86,42,92.5,509,475,0,0,0,16
ID_223,43,92.3,295,274,0,4,0,4
ID_6,43,92.3,657,606,11,17,2,21
ID_566,43,92.3,93,86,0,2,0,5
ID_268,46,92.2,209,196,0,0,0,4
ID_328,46,92.2,176,162,0,0,0,9
ID_144,48,92.0,543,496,37,8,3,12
ID_386,48,92.0,194,176,0,0,0,6
ID_500,48,92.0,167,153,0,0,0,4
ID_402,48,92.0,158,142,100,1,1,7
ID_618,48,92.0,25,23,0,0,0,3
ID_9,53,91.9,814,752,20,34,7,44
ID_36,54,91.8,553,508,50,2,1,12
ID_562,54,91.8,66,58,0,2,0,0
ID_162,56,91.7,306,282,0,2,0,8
ID_66,57,91.6,462,427,23,17,4,5
ID_89,57,91.6,253,230,0,0,0,7
ID_146,59,91.5,519,477,50,4,2,12
ID_374,59,91.5,221,203,50,4,2,9
ID_512,59,91.5,107,98,0,0,0,1
ID_147,62,91.4,271,246,0,0,0,17
ID_83,62,91.4,451,416,50,4,2,11
ID_284,64,91.3,457,425,0,0,0,7
ID_435,64,91.3,83,75,0,0,0,3
ID_287,66,91.2,177,162,0,0,0,6
ID_486,66,91.2,126,110,50,4,2,2
ID_10,68,91.1,413,376,25,12,3,4
ID_12,69,91.0,304,283,16,6,1,5
ID_74,70,90.9,352,318,0,0,0,8
