id_player,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
ID_1,Courtois,Real Madrid,Goalkeeper,1230,13,0,0,64.2
ID_2,Vinícius Júnior,Real Madrid,Forward,1199,13,4,6,133.0
ID_3,Benzema,Real Madrid,Forward,1106,12,15,1,121.5
ID_4,Modrić,Real Madrid,Midfielder,1077,13,0,4,124.5
ID_5,Éder Militão,Real Madrid,Defender,1076,12,0,0,110.4
ID_6,Alaba,Real Madrid,Defender,1040,12,1,0,112.3
ID_7,Carvajal,Real Madrid,Defender,959,11,0,1,112.8
ID_8,Casemiro,Real Madrid,Midfielder,914,11,0,0,107.6
ID_9,Kroos,Real Madrid,Midfielder,902,12,2,0,116.5
ID_10,Mendy,Real Madrid,Defender,867,10,0,2,96.3
ID_11,Valverde,Real Madrid,Midfielder,804,11,0,1,96.7
ID_12,Nacho,Real Madrid,Defender,574,9,0,0,61.9
ID_13,Rodrygo,Real Madrid,Forward,505,11,5,2,65.7
ID_14,Lucas Vázquez,Real Madrid,Midfielder,349,8,0,1,47.4
ID_15,Camavinga,Real Madrid,Midfielder,296,10,0,1,40.2
ID_16,Asensio,Real Madrid,Forward,207,8,1,2,28.4
ID_17,Jović,Real Madrid,Forward,113,3,0,0,12.9
ID_18,Marcelo,Real Madrid,Defender,93,3,0,0,10.7
ID_19,E. Hazard,Real Madrid,Forward,84,3,0,0,10.8
ID_20,Miguel Gutiérrez,Real Madrid,Defender,66,1,0,0,7.7
ID_21,Ceballos,Real Madrid,Midfielder,37,5,0,0,7.8
ID_22,Mariano Díaz,Real Madrid,Forward,12,1,0,0,1.6
ID_23,Vallejo,Real Madrid,Defender,8,2,0,0,1.5
ID_24,Bale,Real Madrid,Forward,7,2,0,0,2.2
ID_25,Blanco,Real Madrid,Midfielder,6,1,0,0,1.3
ID_26,Alisson Becker,Liverpool,Goalkeeper,1170,13,0,0,68.8
ID_27,Salah,Liverpool,Forward,1008,13,8,2,112.0
ID_28,Fabinho,Liverpool,Midfielder,849,13,1,0,105.5
ID_29,Robertson,Liverpool,Defender,826,10,0,2,97.7
ID_30,Mané,Liverpool,Midfielder,822,13,5,1,100.3
ID_31,Van Dijk,Liverpool,Defender,810,9,0,1,82.8
ID_32,Alexander-Arnold,Liverpool,Defender,794,9,0,4,86.8
ID_33,Konaté,Liverpool,Defender,720,8,2,0,78.5
ID_34,Henderson,Liverpool,Midfielder,666,12,1,2,85.7
ID_35,Matip,Liverpool,Defender,630,7,0,0,66.2
ID_36,Thiago Alcántara,Liverpool,Midfielder,604,10,1,0,77.9
ID_37,Diogo Jota,Liverpool,Forward,578,11,1,1,73.9
ID_38,Keïta,Liverpool,Midfielder,487,10,1,2,61.5
ID_39,Luis Díaz,Liverpool,Forward,385,7,2,1,49.9
ID_40,Tsimikas,Liverpool,Defender,344,5,0,2,42.7
ID_41,Firmino,Liverpool,Midfielder,323,7,5,0,43.0
ID_42,Oxlade-Chamberlain,Liverpool,Midfielder,300,6,0,1,38.6
ID_43,Gomez,Liverpool,Defender,245,7,0,0,30.4
ID_44,Minamino,Liverpool,Forward,215,4,0,0,29.7
ID_45,Milner,Liverpool,Midfielder,211,8,0,1,32.0
ID_46,Origi,Liverpool,Forward,187,7,1,1,23.8
ID_47,Jones,Liverpool,Midfielder,185,4,0,2,27.1
ID_48,N. Williams,Liverpool,Defender,180,3,0,0,23.5
ID_49,Morton,Liverpool,Midfielder,180,2,0,0,23.5
ID_50,Phillips,Liverpool,Defender,91,2,0,0,11.2
ID_51,Elliott,Liverpool,Midfielder,59,1,0,0,7.9
ID_52,Woltman,Liverpool,Midfielder,1,1,0,0,0.4
ID_53,Bradley,Liverpool,Midfielder,1,1,0,0,0.4
ID_54,Pau Torres,Villarreal,Defender,1080,12,1,0,124.2
ID_55,Rulli,Villarreal,Goalkeeper,1080,12,0,0,61.2
ID_56,Parejo,Villarreal,Midfielder,1055,12,1,3,130.9
ID_57,Capoue,Villarreal,Midfielder,1046,12,2,4,130.9
ID_58,Albiol,Villarreal,Defender,1045,12,0,0,115.7
ID_59,Ederson,Man. City,Goalkeeper,1003,11,0,0,51.6
ID_60,Mahrez,Man. City,Midfielder,986,12,7,2,120.1
ID_61,Danjuma,Villarreal,Midfielder,906,11,6,2,107.8
ID_62,Vertonghen,Benfica,Defender,900,10,0,1,97.9
ID_63,Vlachodimos,Benfica,Goalkeeper,900,10,0,0,55.4
ID_64,Oblak,Atlético,Goalkeeper,900,10,0,0,52.7
ID_65,Foyth,Villarreal,Defender,891,10,0,0,98.7
ID_66,Bernardo Silva,Man. City,Midfielder,878,11,3,3,120.3
ID_67,Lewandowski,Bayern,Forward,876,10,13,3,99.7
ID_68,Grimaldo,Benfica,Defender,863,10,0,3,107.7
ID_69,Rodri,Man. City,Midfielder,842,10,0,0,114.6
ID_70,João Cancelo,Man. City,Defender,840,9,2,3,100.3
ID_71,Rüdiger,Chelsea,Defender,840,9,1,0,88.4
ID_72,Mendy,Chelsea,Goalkeeper,840,9,0,0,57.4
ID_73,Reinildo,LOSC,Defender,816,10,0,0,88.8
ID_74,Neuer,Bayern,Goalkeeper,810,9,0,1,51.2
ID_75,Weigl,Benfica,Midfielder,810,9,0,0,112
ID_76,Otamendi,Benfica,Defender,810,9,0,0,91.2
ID_77,Sané,Bayern,Midfielder,798,10,6,6,94
ID_78,Laporte,Man. City,Defender,794,9,0,0,90.9
ID_79,Müller,Bayern,Forward,778,10,4,3,98.5
ID_80,Pavard,Bayern,Defender,764,10,0,1,96.7
ID_81,Thiago Silva,Chelsea,Defender,757,9,0,1,71.7
ID_82,De Bruyne,Man. City,Midfielder,734,10,2,4,95.5
ID_83,Škriniar,Inter,Defender,720,8,1,0,85.1
ID_84,Kristensen,Salzburg,Defender,720,8,0,1,85.5
ID_85,Martínez,Ajax,Defender,720,8,0,1,83.3
ID_86,Marquinhos,Paris,Defender,720,8,0,1,78.5
ID_87,Fonte,LOSC,Defender,720,8,0,0,81.3
ID_88,Köhn,Salzburg,Goalkeeper,720,8,0,0,43.8
ID_89,Handanovič,Inter,Goalkeeper,720,8,0,0,32
ID_90,Hakimi,Paris,Defender,718,8,0,0,85.3
ID_91,Ulmer,Salzburg,Defender,716,8,0,0,84.2
ID_92,Gilberto,Benfica,Defender,715,9,1,0,85.7
ID_93,Aaronson,Salzburg,Midfielder,715,8,0,2,103.5
ID_94,Rafa Silva,Benfica,Forward,704,9,1,1,85.7
ID_95,Gravenberch,Ajax,Midfielder,703,8,0,1,89.1
ID_96,Kimmich,Bayern,Midfielder,702,8,0,0,96.4
ID_97,Marcos Llorente,Atlético,Midfielder,700,9,0,0,83.6
ID_98,Azpilicueta,Chelsea,Defender,679,9,1,1,82
ID_99,David,LOSC,Forward,679,8,3,0,86.1
ID_100,Mbappé,Paris,Forward,673,8,6,4,65.2
ID_101,Havertz,Chelsea,Midfielder,672,9,3,0,86.3
ID_102,Camara,Salzburg,Midfielder,672,8,0,0,80.9
ID_103,Haller,Ajax,Forward,668,8,11,1,82.2
ID_104,Bastoni,Inter,Defender,666,8,0,0,76.6
ID_105,Koke,Atlético,Midfielder,665,9,0,1,91.2
ID_106,Rúben Dias,Man. City,Defender,664,8,0,0,83.1
ID_107,Mazraoui,Ajax,Defender,661,8,0,2,81.5
ID_108,Gündoğan,Man. City,Midfielder,660,10,0,2,86.4
ID_109,Upamecano,Bayern,Defender,660,8,0,0,82.3
ID_110,Foden,Man. City,Midfielder,658,11,3,2,89.1
ID_111,Seiwald,Salzburg,Midfielder,649,8,0,1,85.3
ID_112,Estupiñán,Villarreal,Defender,645,10,0,0,76.4
ID_113,Stones,Man. City,Defender,637,8,0,0,73.2
ID_114,Brozović,Inter,Midfielder,635,8,1,0,89.3
ID_115,Coman,Bayern,Forward,632,9,2,3,76.3
ID_116,Messi,Paris,Forward,630,7,5,0,58.7
ID_117,Tadić,Ajax,Forward,630,7,2,2,78.9
ID_118,André,LOSC,Midfielder,630,7,0,0,80
ID_119,Kimpembe,Paris,Defender,630,7,0,0,64.4
ID_120,Adán,Sporting CP,Goalkeeper,630,7,0,0,36.3
ID_121,Szczęsny,Juventus,Goalkeeper,630,7,0,0,31.4
ID_122,De Gea,Man. United,Goalkeeper,630,7,0,0,26.4
ID_123,Berghuis,Ajax,Forward,628,8,3,1,79.8
ID_124,De Ligt,Juventus,Defender,627,7,0,0,71.5
ID_125,Núñez,Benfica,Forward,613,10,6,0,72.4
ID_126,Matheus Reis,Sporting CP,Defender,611,8,0,0,75.3
ID_127,Ronaldo,Man. United,Forward,611,7,6,0,59.2
ID_128,Adeyemi,Salzburg,Forward,607,8,3,1,69.2
ID_129,Christensen,Chelsea,Defender,603,8,1,1,62.6
ID_130,Zeki Çelik,LOSC,Defender,591,7,0,1,71.3
ID_131,Martínez,Inter,Forward,587,8,1,0,67.4
ID_132,Giménez,Atlético,Defender,585,7,0,0,63.3
ID_133,Paulinho,Sporting CP,Forward,582,8,3,1,68.2
ID_134,Sterling,Man. City,Forward,581,12,3,2,71.1
ID_135,Nuno Mendes,Paris,Defender,581,8,0,0,62.2
ID_136,Bonucci,Juventus,Defender,580,7,0,0,60.6
ID_137,Kondogbia,Atlético,Midfielder,578,9,0,0,71.3
ID_138,De Paul,Atlético,Midfielder,577,9,1,0,74.5
ID_139,Antony,Ajax,Forward,577,7,2,5,65.1
ID_140,Walker,Man. City,Defender,577,7,1,0,64.1
ID_141,João Félix,Atlético,Forward,573,8,1,1,68.5
ID_142,Wöber,Salzburg,Defender,573,7,1,0,66.5
ID_143,Blind,Ajax,Defender,572,8,1,1,70.9
ID_144,L. Hernández,Bayern,Defender,572,8,0,0,69.4
ID_145,J. Timber,Ajax,Midfielder,570,8,0,0,64.9
ID_146,Jorginho,Chelsea,Midfielder,561,8,2,2,68.7
ID_147,Gonçalo Inácio,Sporting CP,Defender,561,7,0,1,60.7
ID_148,Álvarez,Ajax,Midfielder,558,7,0,0,73
ID_149,Alex Sandro,Juventus,Defender,553,7,1,0,69
ID_150,Alonso,Chelsea,Defender,548,8,0,0,68.9
ID_151,Everton,Benfica,Forward,543,9,0,0,67.1
ID_152,Džeko,Inter,Forward,541,7,3,1,64.6
ID_153,Vanaken,Club Brugge,Midfielder,540,6,3,1,69.4
ID_154,S. Thill,Sheriff,Midfielder,540,6,2,1,76.8
ID_155,Coates,Sporting CP,Defender,540,6,2,0,50.9
ID_156,Arnold,Wolfsburg,Midfielder,540,6,0,3,67.3
ID_157,Cristiano,Sheriff,Defender,540,6,0,3,63.2
ID_158,Zabarnyi,Dynamo Kyiv,Defender,540,6,0,0,67.1
ID_159,Fernando,Sevilla,Midfielder,540,6,0,0,66.6
ID_160,Fernando Costanza,Sheriff,Defender,540,6,0,0,64.6
ID_161,Dodô,Shakhtar Donetsk,Defender,540,6,0,0,64.5
ID_162,Barrios,Zenit,Midfielder,540,6,0,0,61.5
ID_163,Lacroix,Wolfsburg,Defender,540,6,0,0,61.3
ID_164,Hendry,Club Brugge,Defender,540,6,0,0,61
ID_165,Arboleda,Sheriff,Defender,540,6,0,0,53.3
ID_166,Dulanto,Sheriff,Defender,540,6,0,0,53
ID_167,Bounou,Sevilla,Goalkeeper,540,6,0,0,37.2
ID_168,Kobel,Dortmund,Goalkeeper,540,6,0,0,35.4
