"id_player	player_name	club	position"
"ID_1	Courtois	Real Madrid	Goalkeeper"
"ID_2	VinÃ­cius JÃºnior	Real Madrid	Forward"
"ID_3	Benzema	Real Madrid	Forward"
"ID_4	ModriÄ‡	Real Madrid	Midfielder"
"ID_5	Ã‰der MilitÃ£o	Real Madrid	Defender"
"ID_6	Alaba	Real Madrid	Defender"
"ID_7	Carvajal	Real Madrid	Defender"
"ID_8	Casemiro	Real Madrid	Midfielder"
"ID_9	Kroos	Real Madrid	Midfielder"
"ID_10	Mendy	Real Madrid	Defender"
"ID_11	Valverde	Real Madrid	Midfielder"
"ID_12	Nacho	Real Madrid	Defender"
"ID_13	Rodrygo	Real Madrid	Forward"
"ID_14	Lucas VÃ¡zquez	Real Madrid	Midfielder"
"ID_15	Camavinga	Real Madrid	Midfielder"
"ID_16	Asensio	Real Madrid	Forward"
"ID_17	JoviÄ‡	Real Madrid	Forward"
"ID_18	Marcelo	Real Madrid	Defender"
"ID_19	E. Hazard	Real Madrid	Forward"
"ID_20	Miguel GutiÃ©rrez	Real Madrid	Defender"
"ID_21	Ceballos	Real Madrid	Midfielder"
"ID_22	Mariano DÃ­az	Real Madrid	Forward"
"ID_23	Vallejo	Real Madrid	Defender"
"ID_24	Bale	Real Madrid	Forward"
"ID_25	Blanco	Real Madrid	Midfielder"
"ID_26	Alisson Becker	Liverpool	Goalkeeper"
"ID_27	Salah	Liverpool	Forward"
"ID_28	Fabinho	Liverpool	Midfielder"
"ID_29	Robertson	Liverpool	Defender"
"ID_30	ManÃ©	Liverpool	Midfielder"
"ID_31	Van Dijk	Liverpool	Defender"
"ID_32	Alexander-Arnold	Liverpool	Defender"
"ID_33	KonatÃ©	Liverpool	Defender"
"ID_34	Henderson	Liverpool	Midfielder"
"ID_35	Matip	Liverpool	Defender"
"ID_36	Thiago AlcÃ¡ntara	Liverpool	Midfielder"
"ID_37	Diogo Jota	Liverpool	Forward"
"ID_38	KeÃ¯ta	Liverpool	Midfielder"
"ID_39	Luis DÃ­az	Liverpool	Forward"
"ID_40	Tsimikas	Liverpool	Defender"
"ID_41	Firmino	Liverpool	Midfielder"
"ID_42	Oxlade-Chamberlain	Liverpool	Midfielder"
"ID_43	Gomez	Liverpool	Defender"
"ID_44	Minamino	Liverpool	Forward"
"ID_45	Milner	Liverpool	Midfielder"
"ID_46	Origi	Liverpool	Forward"
"ID_47	Jones	Liverpool	Midfielder"
"ID_48	N. Williams	Liverpool	Defender"
"ID_49	Morton	Liverpool	Midfielder"
"ID_50	Phillips	Liverpool	Defender"
"ID_51	Elliott	Liverpool	Midfielder"
"ID_52	Woltman	Liverpool	Midfielder"
"ID_53	Bradley	Liverpool	Midfielder"
"ID_54	Pau Torres	Villarreal	Defender"
"ID_55	Rulli	Villarreal	Goalkeeper"
"ID_56	Parejo	Villarreal	Midfielder"
"ID_57	Capoue	Villarreal	Midfielder"
"ID_58	Albiol	Villarreal	Defender"
"ID_59	Ederson	Man. City	Goalkeeper"
"ID_60	Mahrez	Man. City	Midfielder"
"ID_61	Danjuma	Villarreal	Midfielder"
"ID_62	Vertonghen	Benfica	Defender"
"ID_63	Vlachodimos	Benfica	Goalkeeper"
"ID_64	Oblak	AtlÃ©tico	Goalkeeper"
"ID_65	Foyth	Villarreal	Defender"
"ID_66	Bernardo Silva	Man. City	Midfielder"
"ID_67	Lewandowski	Bayern	Forward"
"ID_68	Grimaldo	Benfica	Defender"
"ID_69	Rodri	Man. City	Midfielder"
"ID_70	JoÃ£o Cancelo	Man. City	Defender"
"ID_71	RÃ¼diger	Chelsea	Defender"
"ID_72	Mendy	Chelsea	Goalkeeper"
"ID_73	Reinildo	LOSC	Defender"
"ID_74	Neuer	Bayern	Goalkeeper"
"ID_75	Weigl	Benfica	Midfielder"
"ID_76	Otamendi	Benfica	Defender"
"ID_77	SanÃ©	Bayern	Midfielder"
"ID_78	Laporte	Man. City	Defender"
"ID_79	MÃ¼ller	Bayern	Forward"
"ID_80	Pavard	Bayern	Defender"
"ID_81	Thiago Silva	Chelsea	Defender"
"ID_82	De Bruyne	Man. City	Midfielder"
"ID_83	Å kriniar	Inter	Defender"
"ID_84	Kristensen	Salzburg	Defender"
"ID_85	MartÃ­nez	Ajax	Defender"
"ID_86	Marquinhos	Paris	Defender"
"ID_87	Fonte	LOSC	Defender"
"ID_88	KÃ¶hn	Salzburg	Goalkeeper"
"ID_89	HandanoviÄ	Inter	Goalkeeper"
"ID_90	Hakimi	Paris	Defender"
"ID_91	Ulmer	Salzburg	Defender"
"ID_92	Gilberto	Benfica	Defender"
"ID_93	Aaronson	Salzburg	Midfielder"
"ID_94	Rafa Silva	Benfica	Forward"
"ID_95	Gravenberch	Ajax	Midfielder"
"ID_96	Kimmich	Bayern	Midfielder"
"ID_97	Marcos Llorente	AtlÃ©tico	Midfielder"
"ID_98	Azpilicueta	Chelsea	Defender"
"ID_99	David	LOSC	Forward"
"ID_100	MbappÃ©	Paris	Forward"
"ID_101	Havertz	Chelsea	Midfielder"
"ID_102	Camara	Salzburg	Midfielder"
"ID_103	Haller	Ajax	Forward"
"ID_104	Bastoni	Inter	Defender"
"ID_105	Koke	AtlÃ©tico	Midfielder"
"ID_106	RÃºben Dias	Man. City	Defender"
"ID_107	Mazraoui	Ajax	Defender"
"ID_108	GÃ¼ndoÄŸan	Man. City	Midfielder"
"ID_109	Upamecano	Bayern	Defender"
"ID_110	Foden	Man. City	Midfielder"
"ID_111	Seiwald	Salzburg	Midfielder"
"ID_112	EstupiÃ±Ã¡n	Villarreal	Defender"
"ID_113	Stones	Man. City	Defender"
"ID_114	BrozoviÄ‡	Inter	Midfielder"
"ID_115	Coman	Bayern	Forward"
"ID_116	Messi	Paris	Forward"
"ID_117	TadiÄ‡	Ajax	Forward"
"ID_118	AndrÃ©	LOSC	Midfielder"
"ID_119	Kimpembe	Paris	Defender"
"ID_120	AdÃ¡n	Sporting CP	Goalkeeper"
"ID_121	SzczÄ™sny	Juventus	Goalkeeper"
"ID_122	De Gea	Man. United	Goalkeeper"
"ID_123	Berghuis	Ajax	Forward"
"ID_124	De Ligt	Juventus	Defender"
"ID_125	NÃºÃ±ez	Benfica	Forward"
"ID_126	Matheus Reis	Sporting CP	Defender"
"ID_127	Ronaldo	Man. United	Forward"
"ID_128	Adeyemi	Salzburg	Forward"
"ID_129	Christensen	Chelsea	Defender"
"ID_130	Zeki Ã‡elik	LOSC	Defender"
"ID_131	MartÃ­nez	Inter	Forward"
"ID_132	GimÃ©nez	AtlÃ©tico	Defender"
"ID_133	Paulinho	Sporting CP	Forward"
"ID_134	Sterling	Man. City	Forward"
"ID_135	Nuno Mendes	Paris	Defender"
"ID_136	Bonucci	Juventus	Defender"
"ID_137	Kondogbia	AtlÃ©tico	Midfielder"
"ID_138	De Paul	AtlÃ©tico	Midfielder"
"ID_139	Antony	Ajax	Forward"
"ID_140	Walker	Man. City	Defender"
"ID_141	JoÃ£o FÃ©lix	AtlÃ©tico	Forward"
"ID_142	WÃ¶ber	Salzburg	Defender"
"ID_143	Blind	Ajax	Defender"
"ID_144	L. HernÃ¡ndez	Bayern	Defender"
"ID_145	J. Timber	Ajax	Midfielder"
"ID_146	Jorginho	Chelsea	Midfielder"
"ID_147	GonÃ§alo InÃ¡cio	Sporting CP	Defender"
"ID_148	Ãlvarez	Ajax	Midfielder"
"ID_149	Alex Sandro	Juventus	Defender"
"ID_150	Alonso	Chelsea	Defender"
"ID_151	Everton	Benfica	Forward"
"ID_152	DÅ¾eko	Inter	Forward"
"ID_153	Vanaken	Club Brugge	Midfielder"
"ID_154	S. Thill	Sheriff	Midfielder"
"ID_155	Coates	Sporting CP	Defender"
"ID_156	Arnold	Wolfsburg	Midfielder"
"ID_157	Cristiano	Sheriff	Defender"
"ID_158	Zabarnyi	Dynamo Kyiv	Defender"
"ID_159	Fernando	Sevilla	Midfielder"
"ID_160	Fernando Costanza	Sheriff	Defender"
"ID_161	DodÃ´	Shakhtar Donetsk	Defender"
"ID_162	Barrios	Zenit	Midfielder"
"ID_163	Lacroix	Wolfsburg	Defender"
"ID_164	Hendry	Club Brugge	Defender"
"ID_165	Arboleda	Sheriff	Defender"
"ID_166	Dulanto	Sheriff	Defender"
"ID_167	Bounou	Sevilla	Goalkeeper"
"ID_168	Kobel	Dortmund	Goalkeeper"
"ID_169	Mignolet	Club Brugge	Goalkeeper"
"ID_170	Musso	Atalanta	Goalkeeper"
"ID_171	Pasveer	Ajax	Goalkeeper"
"ID_172	GrbiÄ‡	LOSC	Goalkeeper"
"ID_173	Diogo Costa	Porto	Goalkeeper"
"ID_174	Ter Stegen	Barcelona	Goalkeeper"
"ID_175	Locatelli	Juventus	Midfielder"
"ID_176	Diego Carlos	Sevilla	Defender"
"ID_177	Mount	Chelsea	Midfielder"
"ID_178	Rabiot	Juventus	Midfielder"
"ID_179	Sydorchuk	Dynamo Kyiv	Midfielder"
"ID_180	Maguire	Man. United	Defender"
"ID_181	JoÃ£o Palhinha	Sporting CP	Midfielder"
"ID_182	Tiago DjalÃ³	LOSC	Defender"
"ID_183	Moumi Ngamaleu	Young Boys	Midfielder"
"ID_184	PeriÅ¡iÄ‡	Inter	Midfielder"
"ID_185	Nkunku	Leipzig	Midfielder"
"ID_186	Traore	Sheriff	Midfielder"
"ID_187	Burak YÄ±lmaz	LOSC	Forward"
"ID_188	Pedro Porro	Sporting CP	Defender"
"ID_189	Lang	Club Brugge	Forward"
"ID_190	Clinton Mata	Club Brugge	Defender"
"ID_191	Freuler	Atalanta	Midfielder"
"ID_192	Depay	Barcelona	Forward"
"ID_193	Gerard Moreno	Villarreal	Forward"
"ID_194	Lo Celso	Villarreal	Midfielder"
"ID_195	F. de Jong	Barcelona	Midfielder"
"ID_196	Morata	Juventus	Forward"
"ID_197	Bruno Fernandes	Man. United	Midfielder"
"ID_198	Griezmann	AtlÃ©tico	Forward"
"ID_199	SuÄiÄ‡	Salzburg	Midfielder"
"ID_200	SÃ¼le	Bayern	Defender"
"ID_201	Yaremchuk	Benfica	Forward"
"ID_202	Sarabia	Sporting CP	Forward"
"ID_203	Matheus Nunes	Sporting CP	Midfielder"
"ID_204	James	Chelsea	Defender"
"ID_205	Aebischer	Young Boys	Midfielder"
"ID_206	Bellingham	Dortmund	Midfielder"
"ID_207	Zinchenko	Man. City	Defender"
"ID_208	De Ketelaere	Club Brugge	Forward"
"ID_209	ÄŒolak	MalmÃ¶	Forward"
"ID_210	Reus	Dortmund	Midfielder"
"ID_211	Rakitskyy	Zenit	Defender"
"ID_212	Barella	Inter	Midfielder"
"ID_213	Innocent	MalmÃ¶	Midfielder"
"ID_214	Taremi	Porto	Forward"
"ID_215	JoÃ£o MÃ¡rio	Benfica	Midfielder"
"ID_216	Addo	Sheriff	Midfielder"
"ID_217	Tsygankov	Dynamo Kyiv	Midfielder"
"ID_218	Elia	Young Boys	Forward"
"ID_219	De Vrij	Inter	Defender"
"ID_220	Sergio Busquets	Barcelona	Midfielder"
"ID_221	Shaparenko	Dynamo Kyiv	Midfielder"
"ID_222	Mukiele	Leipzig	Defender"
"ID_223	Wendel	Zenit	Midfielder"
"ID_224	Meunier	Dortmund	Defender"
"ID_225	De Roon	Atalanta	Midfielder"
"ID_226	Nsoki	Club Brugge	Defender"
"ID_227	Renan Lodi	AtlÃ©tico	Defender"
"ID_228	Davies	Bayern	Midfielder"
"ID_229	Maycon	Shakhtar Donetsk	Midfielder"
"ID_230	Carrasco	AtlÃ©tico	Forward"
"ID_231	Cuadrado	Juventus	Midfielder"
"ID_232	Felipe	AtlÃ©tico	Defender"
"ID_233	Witsel	Dortmund	Midfielder"
"ID_234	Neymar	Paris	Forward"
"ID_235	Bamba	LOSC	Forward"
"ID_236	Dumfries	Inter	Defender"
"ID_237	Goretzka	Bayern	Midfielder"
"ID_238	Zapata	Atalanta	Forward"
"ID_239	Coquelin	Villarreal	Midfielder"
"ID_240	Ocampos	Sevilla	Midfielder"
"ID_241	Lauper	Young Boys	Midfielder"
"ID_242	Grealish	Man. City	Midfielder"
"ID_243	Claudinho	Zenit	Midfielder"
"ID_244	OtÃ¡vio	Porto	Midfielder"
"ID_245	Feddal	Sporting CP	Defender"
"ID_246	Palomino	Atalanta	Defender"
"ID_247	T. HernÃ¡ndez	Milan	Defender"
"ID_248	Danilo	Juventus	Defender"
"ID_249	Mykolenko	Dynamo Kyiv	Defender"
"ID_250	Syrota	Dynamo Kyiv	Defender"
"ID_251	KoundÃ©	Sevilla	Defender"
"ID_252	SaviÄ‡	AtlÃ©tico	Defender"
